Filename:	C:\Users\DSC\Desktop\MD\G7\G7-pet-tga.t6d 
Operator ID:	MD 
Sample ID:	G7-PET 
Comment: 	 
Serial Number:	016120108 
Data Collected:	09.03.2026 10:32:07 
Sample Weight:	2.644 mg 
Display Weight:	2.644 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\05_Okt_2017.t6c 
Date/Time:	 
Initial Conditions 
Temperature:	 30.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1710 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 30.00°C to 600.00°C at 20.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	4.950000	3.741106	0.000000	129.000000	107.120000	19.800000	0.000000 
	4.966667	3.740895	0.000000	129.333333	107.450000	19.800000	0.000000 
	4.983333	3.740474	0.000000	129.666667	107.780000	19.800000	0.000000 
	5.000000	3.740053	0.000000	130.000000	108.110000	19.800000	0.000000 
	5.016667	3.740264	0.000000	130.333333	108.440000	19.800000	0.000000 
	5.033333	3.740474	0.000000	130.666667	108.770000	19.800000	0.000000 
	5.050000	3.740474	0.000000	131.000000	109.110000	19.800000	0.000000 
	5.066667	3.740264	0.000000	131.333333	109.440000	19.800000	0.000000 
	5.083333	3.740053	0.000000	131.666667	109.770000	19.800000	0.000000 
	5.100000	3.739843	0.000000	132.000000	110.100000	19.800000	0.000000 
	5.116667	3.739843	0.000000	132.333333	110.440000	19.800000	0.000000 
	5.133333	3.739843	0.000000	132.666667	110.770000	19.800000	0.000000 
	5.150000	3.739632	0.000000	133.000000	111.100000	19.800000	0.000000 
	5.166667	3.739421	0.000000	133.333333	111.440000	19.800000	0.000000 
	5.183333	3.739421	0.000000	133.666667	111.770000	19.800000	0.000000 
